row,col,R,G,B,R_norm,G_norm,B_norm,brightness,R_missing,G_missing,B_missing,R_mean_imputed,G_mean_imputed,B_mean_imputed
2,14,255,255,255,1.0,1.0,1.0,light,,,255.0,201.1872626533026,198.02075412901215,255.0
2,15,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
2,16,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
2,17,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
2,18,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
2,19,255,255,255,1.0,1.0,1.0,light,,255.0,255.0,201.1872626533026,255.0,255.0
2,20,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
2,21,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
2,22,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
2,23,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
